customer_id,segment,region,tenure_months,mrr,login_frequency_weekly,feature_adoption_score,support_tickets_3m,avg_resolution_time_hours,days_since_last_login,session_duration_avg_min,late_payments_6m,email_engagement_rate,frustration_score,churn_risk_label,mrr_per_tenure,tickets_per_month,engagement_ratio,high_value_customer,customer_status,anomaly_score,is_anomaly,churn_probability,predicted_risk
CUST_000001,SMB,North America,11,1158.6269915857326,1.0978145856604091,72.50110399053582,4,26.024728036928636,3,18.947175091057904,0,0.7661329595998955,63.765234224973234,Medium Risk,96.55224929881105,1.3333333333333333,0.8410719376039422,1,At Risk,0.09042527501679798,0,0.8945953392734161,Medium Risk
CUST_000002,Individual,Europe,9,24.97193823907981,6.709703705024019,50.543378269357966,3,40.81791073060293,0,84.69623598614652,1,0.7364524599726141,64.89132434612841,Medium Risk,2.497193823907981,1.0,4.941377799252302,0,At Risk,0.05440275927276794,0,0.9302354979619897,Medium Risk
CUST_000003,Startup,Asia Pacific,4,66.43135066450951,11.830533368276871,84.56010969937728,4,25.399215953536935,2,25.26242958414451,0,0.822767108408487,60.295821364418465,High Risk,13.286270132901901,1.3333333333333333,9.733773730347279,0,Frustrated,0.0030515709275568126,0,0.09048773660751461,High Risk
CUST_000004,Startup,North America,22,106.34404255740671,5.936398703845413,26.199564843600708,2,20.246794266698434,7,18.40058015154419,0,0.843871490686436,47.32091308335318,Medium Risk,4.6236540242350745,0.6666666666666666,5.009557623523055,0,At Risk,0.10241039267116386,0,0.925414384232058,Medium Risk
CUST_000005,SMB,Asia Pacific,15,379.6846783069665,5.2298585757983975,69.37925272840904,2,40.58608351411047,7,51.784009609417346,0,0.4326502110744724,50.79081612098486,Medium Risk,23.730292394185405,0.6666666666666666,2.2626994167088164,0,At Risk,0.1074620356819928,0,0.9419630374334385,Medium Risk
CUST_000006,SMB,North America,48,367.32354123850524,3.9250029219284897,69.8289709740561,3,24.296148579537466,2,25.46028712651901,0,0.254262940903159,52.55263200073303,Medium Risk,7.496398800785821,1.0,0.9979827859830299,0,At Risk,0.09303510955352584,0,0.9722889716378422,Medium Risk
CUST_000007,Enterprise,Asia Pacific,1,6209.18685451486,3.6751433884712714,57.807608462113755,2,38.73183200533665,2,25.366164024937458,0,0.6284078724638019,49.771811640910585,Medium Risk,3104.59342725743,0.6666666666666666,2.3094890377486395,1,At Risk,-0.0035265488403796175,1,0.6719698815965391,Medium Risk
CUST_000008,Individual,Asia Pacific,24,11.212296606739782,1.6377735490221383,19.15780812043191,4,51.53622891098148,0,32.043710822028316,0,0.3908199845457535,70.0,Medium Risk,0.4484918642695913,1.3333333333333333,0.640074633118276,0,At Risk,0.05563425747698958,0,0.7532121526865325,Medium Risk
CUST_000009,Startup,North America,34,48.57969886167243,0.7643875408048668,27.538213369347066,3,22.052606998479483,21,20.026849625790536,2,0.7687748782817931,77.78287937404968,High Risk,1.3879913960477839,1.0,0.5876419386423807,0,At Risk,0.049577325105586545,0,0.6681655153545425,Medium Risk
CUST_000010,Startup,Europe,34,100.96921073663216,3.6178175455740655,45.01162296885206,2,30.22789818897204,2,36.443302958637176,0,0.45930531658129586,50.22576970144086,Medium Risk,2.8848345924752046,0.6666666666666666,1.661682833103263,0,At Risk,0.13514116258513803,0,0.9492599731374136,Medium Risk
CUST_000011,Enterprise,North America,52,4944.538543763737,4.269186845364614,72.23993205852823,2,36.430012859672814,18,41.07649604662819,1,0.8546969980415101,62.55201358829436,Medium Risk,93.29318007101391,0.6666666666666666,3.6488611808114406,1,At Risk,0.03191827114362178,0,0.8944095720466225,Medium Risk
CUST_000012,Individual,Asia Pacific,31,29.685333829458315,4.249609234764627,92.30459889911573,2,32.89526287088994,11,76.98646943379657,0,0.6078471851392102,48.87241355351019,Medium Risk,0.9276666821705724,0.6666666666666666,2.5831130112932716,0,At Risk,0.07383763612442379,0,0.8857749733650861,Medium Risk
CUST_000013,Individual,Europe,63,63.846931227659844,4.703232354210155,11.831080176183145,0,23.377265602197955,2,49.39353129718153,0,0.7209262451806977,25.944124334707055,Low Risk,0.9976083004321851,0.0,3.3906836413331005,0,Healthy,0.06292998017931567,0,0.03211585536337405,Low Risk
CUST_000014,SMB,Europe,9,526.8232569374798,5.613899207146135,47.00900799969893,1,4.9000273001693575,8,24.204450421049557,0,0.8905038614721922,28.39585039593918,Low Risk,52.68232569374798,0.3333333333333333,4.999198921879311,0,Healthy,0.09711161676278596,0,0.19844728305159887,Low Risk
CUST_000015,SMB,North America,16,674.3128508300704,3.5014566520705404,30.39133690961293,2,48.48086857858499,4,25.819135114040055,1,0.4773907259044491,57.666666666666664,Medium Risk,39.665461813533554,0.6666666666666666,1.6715629328549173,0,At Risk,0.10506272744625889,0,0.9719760738794372,Medium Risk
CUST_000016,SMB,North America,1,306.9981220952409,1.4975007018306732,59.05762935669263,4,23.00702594880135,26,6.2333300586800995,0,0.24521448747502236,79.90119867999566,High Risk,153.49906104762044,1.3333333333333333,0.3672088670928948,0,At Risk,0.018085467127221977,0,0.024968307983344023,High Risk
CUST_000017,SMB,North America,1,734.0498414415403,4.590395166524432,43.4278293682436,0,48.17149359876463,7,28.189778944702027,0,0.31876207813945606,34.66666666666667,Medium Risk,367.0249207207701,0.0,1.4632439027626423,0,Frustrated,0.04651259000853364,0,0.6413820983400805,Medium Risk
CUST_000018,Startup,North America,6,76.85916747974358,5.370498185580413,72.7386573874531,4,24.84241170878488,5,27.129693004128974,0,0.4611986095647481,64.31210917383326,Medium Risk,10.979881068534796,1.3333333333333333,2.476866295859689,0,At Risk,0.0915875639057423,0,0.8998216883806245,Medium Risk
CUST_000019,SMB,Europe,2,518.1778456537968,2.6336674620519647,57.883081449087236,2,10.66759657817769,7,12.457758303679364,1,0.5947509732523315,44.757298238210275,Medium Risk,172.7259485512656,0.6666666666666666,1.5663762862784039,0,At Risk,0.10952846459332688,0,0.851374775379916,Medium Risk
CUST_000020,SMB,Asia Pacific,7,473.51509222982787,5.383316858698147,54.53119999649233,2,3.3459351064794127,1,27.201563551456232,0,0.5156203330400402,31.851636108917834,Medium Risk,59.189386528728484,0.6666666666666666,2.7757476315420013,0,At Risk,0.11293609442138641,0,0.8571087650773492,Medium Risk
